temp,rh,miu,pv,phi,dphi,crow,lam,dw,dp,ldml,ldmg,ldtg,Å[miu
20,0.0001,-1.25E+06,0.23388037,0,2.64E-08,1.13E+06,0.588412,1.87E-36,5.50E-09,1.91E-34,4.75E-15,6.00E-11,1.25E+06
20,0.0002,-1.15E+06,0.46776074,0,2.85E-08,1.13E+06,0.588412,1.87E-36,5.50E-09,1.91E-34,9.49E-15,1.17E-10,1.15E+06
20,0.0003,-1.10E+06,0.70164111,0,2.99E-08,1.13E+06,0.588412,1.87E-36,5.50E-09,1.91E-34,1.42E-14,1.73E-10,1.10E+06
20,0.0004,-1.06E+06,0.93552148,0,3.10E-08,1.13E+06,0.588412,1.87E-36,5.49E-09,1.91E-34,1.90E-14,2.28E-10,1.06E+06
20,0.0005,-1.03E+06,1.16940185,0,3.19E-08,1.13E+06,0.588412,1.87E-36,5.49E-09,1.91E-34,2.37E-14,2.82E-10,1.03E+06
20,0.0006,-1.00E+06,1.40328222,0,3.27E-08,1.13E+06,0.588412,1.87E-36,5.49E-09,1.91E-34,2.85E-14,3.36E-10,1.00E+06
20,0.0007,-983623.6679,1.63716259,0.000503381,3.34E-08,1.13E+06,0.592308356,3.05E-36,5.49E-09,3.11E-34,3.32E-14,3.90E-10,9.84E+05
20,0.0008,-965543.1531,1.87104296,0.00111311,3.40E-08,1.13E+06,0.597008385,5.46E-36,5.48E-09,5.56E-34,3.79E-14,4.42E-10,9.66E+05
20,0.0009,-949595.0088,2.10492333,0.001660443,3.46E-08,1.13E+06,0.601209327,9.13E-36,5.47E-09,9.31E-34,4.25E-14,4.95E-10,9.50E+05
20,0.001,-935328.9076,2.3388037,0.002157864,3.51E-08,1.14E+06,0.605012356,1.45E-35,5.47E-09,1.48E-33,4.72E-14,5.47E-10,9.35E+05
20,0.0011,-922423.6493,2.57268407,0.00261439,3.56E-08,1.14E+06,0.608490336,2.20E-35,5.46E-09,2.25E-33,5.19E-14,5.99E-10,9.22E+05
20,0.0012,-910642.0715,2.80656444,0.003036756,3.61E-08,1.14E+06,0.61169754,3.23E-35,5.46E-09,3.30E-33,5.66E-14,6.50E-10,9.11E+05
20,0.0013,-899804.0705,3.04044481,0.003430128,3.65E-08,1.14E+06,0.614675516,4.61E-35,5.45E-09,4.70E-33,6.12E-14,7.01E-10,9.00E+05
20,0.0014,-889769.6489,3.27432518,0.003798565,3.69E-08,1.14E+06,0.617456797,6.40E-35,5.45E-09,6.52E-33,6.59E-14,7.52E-10,8.90E+05
20,0.0015,-880427.8259,3.50820555,0.004145311,3.73E-08,1.14E+06,0.620067352,8.69E-35,5.44E-09,8.86E-33,7.05E-14,8.03E-10,8.80E+05
20,0.0016,-871689.1341,3.74208592,0.004473003,3.77E-08,1.14E+06,0.622528252,1.16E-34,5.44E-09,1.18E-32,7.52E-14,8.54E-10,8.72E+05
20,0.0017,-863480.395,3.97596629,0.004783817,3.80E-08,1.15E+06,0.624856834,1.52E-34,5.43E-09,1.55E-32,7.98E-14,9.04E-10,8.63E+05
20,0.0018,-855740.9898,4.20984666,0.005079568,3.84E-08,1.15E+06,0.627067543,1.96E-34,5.43E-09,2.00E-32,8.44E-14,9.55E-10,8.56E+05
20,0.0019,-848420.1406,4.44372703,0.005361786,3.87E-08,1.15E+06,0.629172544,2.49E-34,5.43E-09,2.54E-32,8.91E-14,1.00E-09,8.48E+05
20,0.002,-841474.8886,4.6776074,0.005631776,3.90E-08,1.15E+06,0.631182181,3.14E-34,5.42E-09,3.20E-32,9.37E-14,1.05E-09,8.41E+05
20,0.0021,-834868.5673,4.91148777,0.005890659,3.93E-08,1.15E+06,0.633105326,3.91E-34,5.42E-09,3.98E-32,9.83E-14,1.10E-09,8.35E+05
20,0.0022,-828569.6303,5.14536814,0.006139403,3.96E-08,1.15E+06,0.634949649,4.81E-34,5.42E-09,4.91E-32,1.03E-13,1.15E-09,8.29E+05
20,0.0023,-822550.7404,5.37924851,0.006378854,3.99E-08,1.15E+06,0.636721824,5.88E-34,5.41E-09,6.00E-32,1.08E-13,1.20E-09,8.23E+05
20,0.0024,-816788.0525,5.61312888,0.006609754,4.02E-08,1.15E+06,0.6384277,7.13E-34,5.41E-09,7.27E-32,1.12E-13,1.25E-09,8.17E+05
20,0.0025,-811260.6431,5.84700925,0.006832756,4.05E-08,1.15E+06,0.640072429,8.57E-34,5.41E-09,8.74E-32,1.17E-13,1.30E-09,8.11E+05
20,0.0026,-805950.0515,6.08088962,0.007048441,4.07E-08,1.16E+06,0.641660576,1.02E-33,5.41E-09,1.04E-31,1.21E-13,1.35E-09,8.06E+05
20,0.0027,-800839.9082,6.31476999,0.007257326,4.10E-08,1.16E+06,0.643196201,1.21E-33,5.40E-09,1.24E-31,1.26E-13,1.40E-09,8.01E+05
20,0.0028,-795915.6299,6.54865036,0.007459873,4.13E-08,1.16E+06,0.644682938,1.43E-33,5.40E-09,1.46E-31,1.31E-13,1.45E-09,7.96E+05
20,0.0029,-791164.1695,6.78253073,0.007656498,4.15E-08,1.16E+06,0.646124049,1.68E-33,5.40E-09,1.71E-31,1.35E-13,1.50E-09,7.91E+05
20,0.003,-786573.8069,7.0164111,0.007847577,4.17E-08,1.16E+06,0.647522472,1.96E-33,5.40E-09,2.00E-31,1.40E-13,1.55E-09,7.87E+05
20,0.0031,-782133.9755,7.25029147,0.00803345,4.20E-08,1.16E+06,0.648880868,2.28E-33,5.39E-09,2.32E-31,1.44E-13,1.60E-09,7.82E+05
20,0.0032,-777835.1151,7.48417184,0.008214425,4.22E-08,1.16E+06,0.65020165,2.63E-33,5.39E-09,2.68E-31,1.49E-13,1.65E-09,7.78E+05
20,0.0033,-773668.5486,7.71805221,0.008390784,4.24E-08,1.16E+06,0.651487017,3.03E-33,5.39E-09,3.09E-31,1.54E-13,1.69E-09,7.74E+05
20,0.0034,-769626.376,7.95193258,0.008562784,4.27E-08,1.16E+06,0.652738975,3.47E-33,5.39E-09,3.54E-31,1.58E-13,1.74E-09,7.70E+05
20,0.0035,-765701.3844,8.18581295,0.008730661,4.29E-08,1.16E+06,0.653959362,3.96E-33,5.39E-09,4.04E-31,1.63E-13,1.79E-09,7.66E+05
20,0.0036,-761886.9708,8.41969332,0.008894632,4.31E-08,1.16E+06,0.655149867,4.51E-33,5.38E-09,4.60E-31,1.67E-13,1.84E-09,7.62E+05
20,0.0037,-758177.075,8.65357369,0.009054896,4.33E-08,1.16E+06,0.656312041,5.12E-33,5.38E-09,5.22E-31,1.72E-13,1.89E-09,7.58E+05
20,0.0038,-754566.1216,8.88745406,0.009211638,4.35E-08,1.16E+06,0.657447319,5.78E-33,5.38E-09,5.90E-31,1.77E-13,1.94E-09,7.55E+05
20,0.0039,-751048.9699,9.12133443,0.009365028,4.37E-08,1.17E+06,0.658557024,6.52E-33,5.38E-09,6.65E-31,1.81E-13,1.98E-09,7.51E+05
20,0.004,-747620.8696,9.3552148,0.009515225,4.39E-08,1.17E+06,0.659642385,7.32E-33,5.38E-09,7.47E-31,1.86E-13,2.03E-09,7.48E+05
20,0.0041,-744277.4225,9.58909517,0.009662375,4.41E-08,1.17E+06,0.66070454,8.21E-33,5.37E-09,8.37E-31,1.90E-13,2.08E-09,7.44E+05
20,0.0042,-741014.5483,9.82297554,0.009806615,4.43E-08,1.17E+06,0.661744549,9.18E-33,5.37E-09,9.36E-31,1.95E-13,2.13E-09,7.41E+05
20,0.0043,-737828.4547,10.05685591,0.009948072,4.45E-08,1.17E+06,0.6627634,1.02E-32,5.37E-09,1.04E-30,1.99E-13,2.17E-09,7.38E+05
20,0.0044,-734715.6113,10.29073628,0.010086866,4.47E-08,1.17E+06,0.663762013,1.14E-32,5.37E-09,1.16E-30,2.04E-13,2.22E-09,7.35E+05
20,0.0045,-731672.7253,10.52461665,0.010223108,4.49E-08,1.17E+06,0.664741251,1.26E-32,5.37E-09,1.29E-30,2.09E-13,2.27E-09,7.32E+05
20,0.0046,-728696.7214,10.75849702,0.010356903,4.50E-08,1.17E+06,0.665701918,1.40E-32,5.37E-09,1.43E-30,2.13E-13,2.32E-09,7.29E+05
20,0.0047,-725784.7225,10.99237739,0.010488348,4.52E-08,1.17E+06,0.666644773,1.55E-32,5.36E-09,1.58E-30,2.18E-13,2.37E-09,7.26E+05
20,0.0048,-722934.0335,11.22625776,0.010617535,4.54E-08,1.17E+06,0.667570523,1.70E-32,5.36E-09,1.74E-30,2.22E-13,2.41E-09,7.23E+05
20,0.0049,-720142.1257,11.46013813,0.010744551,4.56E-08,1.17E+06,0.668479837,1.88E-32,5.36E-09,1.91E-30,2.27E-13,2.46E-09,7.20E+05
20,0.005,-717406.6241,11.6940185,0.010869478,4.58E-08,1.17E+06,0.669373343,2.06E-32,5.36E-09,2.10E-30,2.31E-13,2.51E-09,7.17E+05
20,0.0051,-714725.2943,11.92789887,0.010992392,4.59E-08,1.17E+06,0.670251633,2.26E-32,5.36E-09,2.30E-30,2.36E-13,2.55E-09,7.15E+05
20,0.0052,-712096.0325,12.16177924,0.011113366,4.61E-08,1.17E+06,0.671115265,2.47E-32,5.36E-09,2.52E-30,2.41E-13,2.60E-09,7.12E+05
20,0.0053,-709516.855,12.39565961,0.011232469,4.63E-08,1.17E+06,0.671964769,2.70E-32,5.35E-09,2.76E-30,2.45E-13,2.65E-09,7.10E+05
20,0.0054,-706985.8892,12.62953998,0.011349765,4.64E-08,1.17E+06,0.672800643,2.95E-32,5.35E-09,3.01E-30,2.50E-13,2.70E-09,7.07E+05
20,0.0055,-704501.3657,12.86342035,0.011465317,4.66E-08,1.17E+06,0.67362336,3.22E-32,5.35E-09,3.28E-30,2.54E-13,2.74E-09,7.05E+05
20,0.0056,-702061.6109,13.09730072,0.011579182,4.68E-08,1.17E+06,0.674433368,3.50E-32,5.35E-09,3.57E-30,2.59E-13,2.79E-09,7.02E+05
20,0.0057,-699665.0399,13.33118109,0.011691416,4.69E-08,1.17E+06,0.675231092,3.80E-32,5.35E-09,3.88E-30,2.63E-13,2.84E-09,7.00E+05
20,0.0058,-697310.1505,13.56506146,0.011802071,4.71E-08,1.18E+06,0.676016936,4.13E-32,5.35E-09,4.21E-30,2.68E-13,2.88E-09,6.97E+05
20,0.0059,-694995.5176,13.79894183,0.011911198,4.72E-08,1.18E+06,0.676791284,4.47E-32,5.35E-09,4.56E-30,2.72E-13,2.93E-09,6.95E+05
