,climate,climate,climate,climate,wall1,wall1,wall1,wall1,wall2,wall2,wall2,wall2,wall3,wall3,wall3,wall3,wall4,wall4,wall4,wall4,wall5,wall5,wall5,wall5,wall6,wall6,wall6,wall6,wall7,wall7,wall7,wall7,wall8,wall8,wall8,wall8,indoor,indoor,indoor,indoor,
 ,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,temp,rh,ah,phi,
2022/04/01 00:00,1.0,0.86,0.00349,Error,20.0,0.5,0.00726,0.01835,20.0,0.5,0.00726,0.01835,20.0,0.5,0.00726,0.01835,20.0,0.5,0.00726,0.01835,20.0,0.5,0.00726,0.01835,20.0,0.5,0.00726,0.01835,20.0,0.5,0.00726,0.01835,20.0,0.5,0.00726,0.01835,25.0,0.5,0.00988,Error,
2022/04/01 00:10,0.895,0.867,0.00349,Error,9.433,0.434,0.00316,0.0174,16.075,0.493,0.00558,0.01824,18.923,0.498,0.00676,0.01832,19.771,0.5,0.00715,0.01835,19.969,0.5,0.00725,0.01835,20.026,0.5,0.00727,0.01835,20.066,0.5,0.0073,0.01836,20.028,0.496,0.00722,0.0183,19.785,0.496,0.0071,Error,
2022/04/01 00:20,0.778,0.876,0.00349,Error,7.704,0.501,0.00325,0.01837,13.531,0.489,0.00469,0.01818,17.163,0.495,0.00601,0.01828,18.958,0.498,0.00677,0.01832,19.685,0.499,0.00711,0.01834,19.93,0.5,0.00723,0.01835,19.974,0.5,0.00725,0.01835,19.893,0.491,0.00709,0.01822,19.627,0.494,0.007,Error,
2022/04/01 00:30,0.662,0.884,0.0035,Error,6.672,0.547,0.00331,0.01914,11.934,0.487,0.0042,0.01825,15.694,0.493,0.00544,0.01824,17.977,0.496,0.00634,0.0183,19.159,0.498,0.00687,0.01833,19.674,0.499,0.00711,0.01834,19.825,0.499,0.00717,0.01834,19.77,0.487,0.00697,0.01825,19.509,0.489,0.00689,Error,
2022/04/01 00:40,0.545,0.892,0.0035,Error,5.96,0.579,0.00333,0.01977,10.798,0.486,0.00389,0.01824,14.513,0.491,0.00502,0.01821,17.03,0.495,0.00595,0.01827,18.529,0.497,0.00658,0.01831,19.297,0.499,0.00693,0.01833,19.594,0.499,0.00706,0.01833,19.588,0.483,0.00683,0.01819,19.337,0.485,0.00676,Error,
2022/04/01 00:50,0.428,0.901,0.00351,Error,5.418,0.605,0.00335,0.02033,9.928,0.486,0.00367,0.01824,13.546,0.489,0.0047,0.01819,16.169,0.493,0.00562,0.01825,17.874,0.496,0.0063,0.01829,18.844,0.498,0.00672,0.01832,19.279,0.498,0.00691,0.01832,19.326,0.479,0.00667,0.01813,19.089,0.481,0.00659,Error,
2022/04/01 01:00,0.312,0.909,0.00351,Error,4.978,0.626,0.00336,0.02084,9.226,0.486,0.0035,0.01824,12.734,0.488,0.00444,0.01827,15.394,0.492,0.00533,0.01823,17.228,0.495,0.00603,0.01828,18.348,0.497,0.0065,0.01831,18.896,0.497,0.00673,0.0183,18.989,0.475,0.00647,0.01807,18.766,0.477,0.00641,Error,
2022/04/01 01:10,0.18,0.913,0.00349,Error,4.589,0.643,0.00336,0.0213,8.634,0.487,0.00337,0.01825,12.035,0.487,0.00423,0.01825,14.695,0.491,0.00508,0.01822,16.605,0.494,0.00578,0.01826,17.828,0.496,0.00628,0.01829,18.461,0.495,0.00653,0.01828,18.591,0.472,0.00627,0.01802,18.38,0.473,0.0062,Error,
2022/04/01 01:20,0.047,0.916,0.00347,Error,4.241,0.657,0.00335,0.0217,8.116,0.488,0.00325,0.01826,11.417,0.487,0.00406,0.01824,14.056,0.49,0.00486,0.0182,16.006,0.493,0.00555,0.01824,17.297,0.495,0.00606,0.01828,17.99,0.494,0.00632,0.01826,18.148,0.469,0.00605,0.01797,17.948,0.47,0.00599,Error,
